states,test_takers_2021,num_grads_2021,test_takers_2020,num_grads_2020,test_takers_2019,num_grads_2019
Alabama,1706,51670,3201,47132,3240,48690
Alaska,1842,8010,2822,7531,3212,7758
Arizona,9010,79200,19634,68574,21472,68985
California,116394,491830,284631,427665,272892,431009
Colorado,34952,62970,59781,59020,59494,58611
Connecticut,30487,44000,42939,39050,44029,40056
Delaware,10289,10750,10960,9665,10990,9689
District of Columbia,4117,4550,5090,5087,4980,5305
Florida,172869,213780,186321,177270,190853,181998
Georgia,49170,120560,72535,106367,76340,108052
Hawaii,3848,14930,7237,14103,7346,13702
Idaho,19211,21230,20640,20624,20749,20739
Illinois,119066,149330,140785,143207,146681,145526
Indiana,32671,76010,45911,72243,49565,75014
Iowa,625,37380,934,34981,994,35032
Kansas,721,37290,1330,35206,1496,35484
Kentucky,1080,50540,1853,44613,2047,46380
Louisiana,1409,51080,2172,44880,2191,45047
Maine,4177,14190,13578,13915,14210,14352
Maryland,33457,70910,56687,64127,62688,51094
Massachsetts,27255,79210,57755,72534,59671,73564
Michigan,71935,105650,106863,99995,113724,103250
Minnesota,1709,69820,2601,61508,2567,62303
Mississipi,423,30630,790,28250,781,28885
Missouri,1796,72560,2548,68301,2644,68513
Montana,489,9930,933,9800,880,9682
Nebreska,379,25260,626,24272,714,24001
Nevada,1295,30730,4164,24943,4957,25077
New Hampshire,11050,15550,14116,15114,14464,15256
New Jersey,54415,113730,82988,101372,84602,103091
New Mexico,6270,20640,3883,20702,3705,20841
New York,116219,210310,160484,203793,162179,205027
North Carolina,26520,114050,50595,105422,54462,107651
North Dakota,96,7450,132,7902,149,7743
Ohio,19639,134700,25190,119508,22904,122452
Oklahoma,2631,46240,8471,41706,9272,41851
Oregon,7176,41190,18336,35920,18625,36594
Pennsylvania,56934,144390,90486,134456,95794,137709
Rhode Island,7833,11510,11484,11063,11478,11039
South Carolina,25595,53090,30867,45582,30867,45582
South Dakota,139,9900,238,8698,266,8522
Tennessee,2625,72000,4445,65892,4374,67268
Texas,225685,379460,252019,344580,236665,348578
Utah,654,46400,1286,39532,1506,39100
Vermont,2633,6450,4147,6594,4373,6676
Virginia,38927,94760,58485,89790,61182,90213
West Virginia,8073,18140,17139,17511,17298,17446
Washington,19979,74420,47393,68998,49630,70411
Wisconsin,974,66470,1913,64536,1969,65549
total,1386449,3714850,2039418,3373534,2067171,3406397
