State,Participation Rate,EBRW,Math,Total,,,,,,,,
Alabama,3%,591,568,1159,,,,,,,,
Alaska,23%,567,553,1119,,,,,,,,
Arizona,11%,592,589,1181,,,,,,,,
Arkansas,2%,610,584,1194,,,,,,,,
California,24%,527,530,1057,,,,,,,,
Colorado,56%,544,528,1072,,,,,,,,
Connecticut,69%,545,527,1072,,,,,,,,
Delaware,96%,499,485,984,,,,,,,,
District of Columbia,90%,500,487,987,,,,,,,,
Florida,81%,513,480,993,,,,,,,,
Georgia,41%,551,534,1086,,,,,,,,
Hawaii,26%,572,572,1144,,,,,,,,
Idaho,90%,502,483,985,,,,,,,,
Illinois,80%,508,498,1007,,,,,,,,
Indiana,43%,551,544,1095,,,,,,,,
Iowa,2%,623,620,1243,,,,,,,,
Kansas,2%,616,623,1219,,,,,,,,
Kentucky,4%,609,603,1207,,,,,,,,
Louisiana,3%,605,583,1188,,,,,,,,
Maine,29%,558,541,1099,,,,,,,,
Maryland,47%,542,531,1073,,,,,,,,
Massachusetts,34%,591,593,1184,,,,,,,,
Michigan,68%,523,508,1031,,,,,,,,
Minnesota,2%,626,636,1263,,,,,,,,
Mississippi,1%,612,589,1202,,,,,,,,
Missouri,2%,614,606,1219,,,,,,,,
Montana,5%,618,607,1225,,,,,,,,
Nebraska,2%,625,620,1246,,,,,,,,
Nevada,4%,596,598,1195,,,,,,,,
New Hampshire,71%,540,526,1065,,,,,,,,
New Jersey,48%,562,563,1125,,,,,,,,
New Mexico,30%,508,488,996,,,,,,,,
New York,55%,526,531,1057,,,,,,,,
North Carolina,23%,578,571,1150,,,,,,,,
North Dakota,1%,631,628,1258,,,,,,,,
Ohio,15%,525,523,1048,,,,,,,,
Oklahoma,6%,535,507,1042,,,,,,,,
Oregon,17%,565,554,1119,,,,,,,,
Pennsylvania,39%,566,557,1123,,,,,,,,
Puerto Rico,,511,483,994,,,,,,,,
Rhode Island,68%,514,497,1011,,,,,,,,
South Carolina,48%,529,507,1036,,,,,,,,
South Dakota,1%,605,610,1215,,,,,,,,
Tennessee,4%,618,602,1220,,,,,,,,
Texas,59%,505,498,1003,,,,,,,,
Utah,1%,621,617,1238,,,,,,,,
Vermont,41%,571,553,1124,,,,,,,,
Virginia,41%,584,567,1151,,,,,,,,
"Virgin Islands, US",,484,435,920,,,,,,,,
Washington,27%,537,535,1072,,,,,,,,
West Virginia,45%,520,487,1007,,,,,,,,
Wisconsin,1%,604,611,1215,,,,,,,,
Wyoming,2%,626,607,1233,,,,,,,,
,,,,,,,,,,,,
